DataSetId,app_name,handle,creator,trackers
165114,Dig Out!,com.bandagames.miner,ZiMAD,"12,25,27,35,53,66,61,65,67,69,70,52,159,92,83,121,106,104,163,127,189,184,198,199,210,164,196,228,140,249,328,301,72,218,312,124,90,169,107,146"
165118,Eavesdrop: Chat Stories,com.zimad.eavesdrop,ZiMAD,"12,25,27,35,53,66,61,65,67,70,52,159,92,83,121,106,104,127,185,184,198,199,210,164,196,140,74,301,72,218,312,49,124,90,169,107,146"
61726,Europe Mingle - Dating Chat with European Singles,com.mingle.EuropianMingle,Mingle Dating Social Network,"25,27,33,35,66,223,67,69,70,48,53,57,65,61,92,105,106,121,167,199,198,195,200,140,162,72,90,312,49,124,34,169,146"
124543,Mingle - Online Dating App to Chat & Meet People,mingle.android.mingle,Mingle Dating Social Network,"33,25,27,35,48,53,66,61,223,57,65,67,69,70,159,92,121,105,106,167,198,199,195,140,162,72,312,49,124,90,34,169,146"
165123,Just Say Hi- Dating App. Chat & Meet Singles,com.mingle.justsayhi,Mingle Dating Social Network,"33,25,27,35,48,53,66,61,223,57,65,67,69,70,159,92,121,105,106,167,198,199,195,140,162,72,312,49,124,90,34,169,146"
58186,Asian Mingle - Dating Chat with Singles in Asia,com.mingle.asianmingle,Mingle Dating Social Network,"25,27,33,35,66,223,67,69,70,48,53,57,65,61,159,92,106,121,167,199,184,198,195,254,140,74,162,72,90,312,49,124,34,169,107,146"
165125,Encore,com.mingle.SingleParentsMingle,,"33,25,27,35,48,53,66,61,223,57,65,67,69,70,159,92,121,106,167,184,198,199,195,254,140,74,162,72,312,49,124,90,34,169,107,146"
68404,Gay Dating App. Chat & Date with MEET MARKET,com.mingle.meetmarket,Mingle Dating Social Network,"25,27,33,35,66,223,67,70,48,53,65,61,92,106,121,281,167,219,199,184,198,195,254,140,162,72,90,312,49,124,34,353,354,169,355,107,146"
68400,Aussie Mingle - Australia App. Dating with Singles,com.mingle.AussieMingle,Mingle Dating Social Network,"25,27,33,35,66,223,67,70,48,53,65,61,92,106,121,281,167,219,199,184,198,195,254,267,140,162,218,72,90,312,49,124,34,353,354,169,355,107,146"
165127,Muslim Mingle Social App. Chat with Single Muslims,com.mingle.muslimmingle,Mingle Dating Social Network,"33,25,27,35,48,53,66,61,223,65,67,70,92,121,106,281,167,219,184,198,199,195,254,140,267,162,72,218,312,49,124,90,34,353,354,169,355,107,146"
68397,BBW Plus Singles,com.mingle.BBWPlusSingles,,"25,27,33,35,66,223,67,69,70,48,53,57,65,61,159,92,106,121,167,199,184,198,195,254,140,74,162,72,90,312,49,124,34,169,107,146"
165132,Latin Mingle- Dating Chat App for Latino Worldwide,com.mingle.LatinMingle,Mingle Dating Social Network,"33,25,27,35,48,53,66,61,223,65,67,70,92,121,106,281,167,219,184,198,199,195,254,140,267,162,72,218,312,49,124,90,34,353,354,169,355,107,146"
29701,"Tagged - Meet, Chat & Dating",com.taggedapp,Ifwe Inc.,"25,27,35,15,12,66,67,69,70,48,65,61,159,52,83,92,105,106,121,133,104,289,163,219,189,192,258,301,218,72,312,49,34,259,169,107,73,91"
148344,Parental Control SecureKids,com.securekids.launcher_reloaded,Grupo Deidev,"27,48,105,77,49"
182018,Qustodio Parental Control,com.qustodio.qustodioapp,Qustodio LLC,"17,27,48,52,105,49"
103091,Life360,com.life360.android.safetymapd,,"26,12,17,27,58,66,67,69,70,125,167,171,312,49"
165160,Mormon Channel,org.lds.mormonchannel.client.android,The Church of Jesus Christ of Latter-day Saints,"16,27,401"
139506,Digital Dashboard GPS,luo.digitaldashboardgps,luozirui,"27,279,408,318,312,49"
197600,AutoMate - Car Dashboard: Driving & Navigation,com.bitspice.automate,BitSpice,"27,57,171,49,352"
143493,ai.type Free Emoji Keyboard,com.aitype.android,ai.type,"25,27,35,48,66,61,65,67,70,83,105,106,319,312,49,353,118,355,107"
179586,"AutomateIt - Automate tasks, save battery and more",AutomateIt.mainPackage,SmarterApps Ltd,"27,48,66,67,69,70,102,105,312,49"
180082,Mediaset Play,it.fabbricadigitale.android.videomediaset,RTI Spa,"4,32,27,56,66,67,69,70,148,401,244,224,49"
35463,Wallet - Finance Tracker and Budget Planner,com.droid4you.application.wallet,BudgetBakers.com,"27,66,67,69,70,181,206,412,49,118"
72397,AccuWeather: Weather Radar & Live Rain Forecast,com.accuweather.android,AccuWeather,"17,27,8,12,48,56,61,18,92,123,163,171,181,130,312,49"
105131,Microsoft Launcher,com.microsoft.launcher,Microsoft Corporation,"17,48,52,105,49"
25676,"My Tide Times - Tide Tables, Forecasts & Tides!",com.jrustonapps.mytidetimes,jRustonApps,"25,27,33,35,53,57,65,61,92,106,121,199,198,195,200,231,408,140,162,72,90,312,49,124,34,169,146"
12512,Just Eat (Allo Resto) - Livraison restaurants,com.justeat.app.fr,Just-Eat Holding Limited,"17,27,3,66,67,69,70,48,52,105,172,148,219,49,220"
173532,appJobber,de.werdenktwas.appjobber,wer denkt was GmbH,"26,298"
165713,EWE TV,net.appmodule.EWETV,,"26,17,48,66,67,70,52,197,312"
165761,KETV,com.hearst.android.ketv,,"17,27,48,56,66,61,67,69,70,92,105,304,314,312,49"
149355,UC Browser  Video Downloader &Win Cash & Vouchers,com.UCMobile.intl,UCWeb Inc.,"12,61,65,328,361,218,312"
88697,Opera Browser: Fast and Secure,com.opera.browser,Opera,"28,12,25,66,65,67,70,106,198,191,200,140,312,49,124"
76781,Opera Mini - fast web browser,com.opera.mini.native,Opera,"12,28,65,198,191,200,140,312,49,124"
59816,Abs Workout - Daily Fitness,net.p4p.absen,Passion4Profession Apps,"27,35,66,67,70,65,219,218,90,312,49,354"
8588,adidas - Sports & Style,com.adidas.app,adidas,"27,12,66,67,69,70,18,280,219,312,49,220"
134545,"BlaBlaCar, Trusted Carpooling",com.comuto,BlaBlaCar,"17,27,48,66,67,69,70,52,105,49,382"
66954,Boulanger,fr.boulanger.application,BOULANGER,"27,4,12,66,67,69,70,95,280,312,49,45"
129198,Cdiscount,cdiscount.mobile,Cdiscount,"4,12,40,27,48,65,7,89,105,106,280,153,412,312,49,107"
191592,CoursesU.com vos courses en ligne,com.coursesu.app,Magasins U,"27,280,49"
94630,Deliveroo: Food Delivery,com.deliveroo.orderapp,Deliveroo,"12,17,27,66,67,69,70,167,49"
80233,foodora - Local Food Delivery,de.foodora.android,Foodora GmbH,"4,17,27,48,66,67,70,52,105,167,242,412,130,49"
165943,GoFundMe - Free Online Crowdfunding & Fundraising,com.GoFundMe.GoFundMe,GoFundMe Inc,"26,17,27,66,67,70,211,49"
156147,TheFork - Restaurants booking and special offers,com.lafourchette.lafourchette,LaFourchette / ElTenedor / TheFork,"12,40,27,66,67,69,70,181,49"
127123,Landlord Tycoon - Money Investing Idle with GPS,com.landlordgame.tycoon,Reality Games LTD,"33,12,25,27,35,48,58,53,66,61,65,67,70,159,92,121,105,106,127,184,198,181,199,195,140,305,162,72,218,312,49,124,90,34,169,146"
26767,Rakuten shopping,com.priceminister.buyerapp,Rakuten France,"27,12,31,48,105,192,312,49"
126174,Shopmium - Exclusive Offers,com.shopmium,Shopmium,"17,25,27,48,66,67,69,70,52,105,312,49"
166005,Showroomprivé: private sales on big brands,com.holosfind.showroom,Showroomprive,"4,27,48,66,67,69,70,52,106,167,404,312,49"
